flight,liftingcast_name,opl_slug,opl_name,confidence,include
C,Eamonn Breen,eamonnbreen,Eamonn Breen,high,yes
C,Jamie Murphy,jamiemurphy1,Jamie Murphy #1,high,yes
C,Joseph Sheerin,josephsheerin,Joseph Sheerin,high,yes
C,Kate Hennessy,katehennessy,Kate Hennessy,high,yes
C,Laoise Quinn,laoisequinn,Laoise Quinn,high,yes
C,Luke Mcgivney,lukemcgivney,Luke McGivney,high,yes
C,Tom Sullivan,tomsullivan,Tom Sullivan,high,yes
D,Aaron O'Dea,aaronodea,Aaron O'Dea,high,yes
D,Alfie Calda,alfiecalda,Alfie Calda,high,yes
D,Caitlin Cronin,caitlincronin,Caitlin Cronin,high,yes
D,Dayna Ryan,daynaryan,Dayna Ryan,high,yes
D,Dillon Farrelly,dillonfarrelly,Dillon Farrelly,high,yes
D,Ellie O'Neill,ellieoneill,Ellie O Neill,low,yes
D,Emils Jekabsons,emilsjekabsons,Emils Jekabsons,high,yes
D,Eoghan McNicholl,eoghanmcnicholl,Eoghan McNicholl,high,yes
D,Josh McMullin,joshmcmullin,Josh McMullin,high,yes
D,Marcus O'Hagan,marcusohagan,Marcus O'Hagan,high,yes
D,Oisín Blaney Shorte,oisinblaneyshorte,Oisin Blaney Shorte,high,yes
D,Patrick Lyons,patricklyons1,Patrick Lyons #1,medium,yes
D,Sarah McLoughlin,sarahmcloughlin1,Sarah McLoughlin #1,medium,yes
D,Tehya Hennessy,tehyahennessy,Tehya Hennessy,high,yes
E,Diarmuid O'brien,diarmuidobrien,Diarmuid O'Brien,high,yes
E,Ellen Power,ellenpower,Ellen Power,high,yes
E,Evan Delaney,evandelaney,Evan Delaney,high,yes
E,Hannah Maguire,hannahmaguire,Hannah Maguire,high,yes
E,James Mc Keown,jamesmckeown,James Mc Keown,high,yes
E,Keira Loftus,keiraloftus,Keira Loftus,high,yes
E,Kerri Gibbons,kerrigibbons,Kerri Gibbons,high,yes
E,Kyle Drennan,kyledrennan,Kyle Drennan,high,yes
E,Lachlan Gill,lachlangill,Lachlan Gill,high,yes
E,Olivia Hardingham,oliviahardingham,Olivia Hardingham,high,yes
E,Rachael Ó Sullivan,rachaelosullivan,Rachael O'Sullivan,medium,yes
E,Shania Jones Cottrell,shaniajonescottrell,Shania Jones Cottrell,high,yes
E,Sohaib Ahmed,sohaibahmed,Sohaib Ahmed,high,yes
F,Cyrille Bourgeois Bikoi,cyrillebourgeoisbikoi,Cyrille Bourgeois Bikoi,high,yes
F,Darius Maniar,dariusmaniar,Darius Maniar,high,yes
F,James Cronin,jamescronin,James Cronin,high,yes
F,Leah Tyndall,leahtyndall,Leah Tyndall,high,yes
F,Liam Malone,liammalone,Liam Malone,high,yes
F,Ruairi Eagers,ruairieagers,Ruairi Eagers,high,yes
F,Ryan Lynchehaun,ryanlynchehaun,Ryan Lynchehaun,high,yes
F,Sean Butler,seanbutler1,Sean Butler #1,medium,yes
F,Sean Walker,seanwalker,Sean Walker,high,yes
F,Senan McAuley,senanmcauley,Senan McAuley,high,yes
F,Shane Mcgarry,shanemcgarry,Shane McGarry,high,yes
G,Alejandro Leacy,alejandroleacy,Alejandro Leacy,high,yes
G,Allysandra Murphy,allysandramurphy,Allysandra Murphy,high,yes
G,Bláthnaid O'Dwyer,blathnaidodwyer,Bláthnaid O'Dwyer,high,yes
G,Christ Koffi,christkoffi,Christ Koffi,high,yes
G,Daniel Abayeneme,danielabayeneme,Daniel Abayeneme,high,yes
G,Evan Peters,evanpeterson,Evan Peterson,medium,yes
G,Francesca Mary Callanta,francescamarycallanta,Francesca Mary Callanta,high,yes
G,Jack O'Grady,jackogrady,Jack O'Grady,high,yes
G,Joe Lin,joelindsay,Joe Lindsay,medium,yes
G,Marco Marsella,marcomarsella,Marco Marsella,high,yes
G,Max Cooper,maxcooper3,Max Cooper #3,medium,yes
G,Paulius Kozeniauskas,pauliuskozeniauskas,Paulius Kozeniauskas,high,yes
G,Ryan Boyd,ryanboyd,Ryan Boyd,high,yes
G,Travis Gibbons,travisgibbons,Travis Gibbons,high,yes
H,Adam McMahon,adammcmahon,Adam McMahon,high,yes
H,Alan O'Beirne,alanobeirne,Alan O'Beirne,high,yes
H,Dara McCullagh,daramccullagh,Dara McCullagh,high,yes
H,Darius Drutas,dariusdrutas,Darius Drutas,high,yes
H,Dylan Hartnett,dylanhartnett,Dylan Hartnett,high,yes
H,Emmet Freyne,emmetfreyne,Emmet Freyne,high,yes
H,Frank Joel Kanko Noukeu,frankjoelkankonoukeu,Frank Joel Kanko Noukeu,high,yes
H,Josh Holmes,joshholmes2,Josh Holmes #2,medium,yes
H,Joshua Preuss,joshuapreuss,Joshua Preuss,high,yes
H,Patryk Raducki,patrykraducki,Patryk Raducki,high,yes
H,Pearse Hegarty,pearsehegarty,Pearse Hegarty,high,yes
H,Seán O'Donovan,seanodonovan,Sean O'Donovan,low,yes
H,Thomas Patton,thomaspatton,Thomas Patton,high,yes
